protID	geneID	protName	CN4	CN22	CN38	CN78	hGR	GOterm
P23254	YPR074C	TKL1	1.69	3.15	8.24	7.41	16.5	PP shunt
P28240	YER065C	ICL1	0	0	0	0	100	TCA cycle
P28241	YOR136W	IDH2	0	0.415	0	0	0	TCA cycle
P28834	YNL037C	IDH1	0	0.31	0	0	0	TCA cycle
P32473	YBR221C	PDB1	6.43	5.26	6.53	5.38	47.1	Glycolysis
P32799	YGL191W	COX13	70.7	77.8	80.9	57	98.6	ETC
P33421	YKL141W	SDH3	5.83	8.42	8.46	1.25	46.7	ETC
P37291	YLR058C	SHM2	75.8	64.4	45	4.21	35	THF cycle
P37292	YBR263W	SHM1	97.8	96.1	94	3.41	100	THF cycle
P37298	YDR178W	SDH4	5.83	8.42	8.46	1.25	46.7	ETC
P37299	YHR001W-A	QCR10	100	100	100	100	99.5	ETC
P38720	YHR183W	GND1	3.96	6.78	20.5	20.6	41.7	PP shunt
P38858	YHR163W	SOL3	100	100	100	100	100	PP shunt
P39533	YJL200C	ACO2	100	100	100	100	100	TCA cycle
P39726	YAL044C	GCV3	5.93	1.32	2.65	0.07	5.9	THF cycle
P41939	YLR174W	IDP2	4.62	10.2	100	60.7	53.5	TCA cycle
P43635	YPR001W	CIT3	42.8	65	0	0	0	TCA cycle
P46151	YPL023C	MET12	8.78	0	11.8	0	0	THF cycle
P46969	YJL121C	RPE1	5.58	11.7	27.3	23.8	100	PP shunt
P47052	YJL045W	YJL045W	6.05	0	0	1.3	48.6	ETC
P48015	YDR019C	GCV1	11.9	1.63	3.88	0.094	11.4	THF cycle
P49095	YMR189W	GCV2	35.9	5.28	11.8	0.311	25.6	THF cycle
P53128	YGL125W	MET13	0	1.5	0	2.87	3.71	THF cycle
P53312	YGR244C	LSC2	2.18	2.16	2.46	0	8.59	TCA cycle
P53598	YOR142W	LSC1	1.27	1.38	1.93	0	6.09	TCA cycle
Q00711	YKL148C	SDH1	0	8.42	8.46	0	0	ETC
Q01519	YLR038C	COX12	70.7	77.8	80.9	57	98.6	ETC
Q12189	YOR095C	RKI1	100	100	100	100	100	PP shunt
P14126	YOR063W	RPL3	16.5	23.3	21.4	19.3	39	Ribosome
P26783	YJR123W	RPS5	31.8	39.1	41.2	34.8	72.8	Ribosome
P05755	YBR189W	RPS9B	29.4	35.8	31.6	30.7	63.4	Ribosome
P26786	YOR096W	RPS7A	31.8	38	38.8	34.3	78.1	Ribosome
P05317	YLR340W	RPP0	27.4	30.4	27.7	26.9	65	Ribosome
P04147	YER165W	PAB1	79.7	92.1	89.8	76.6	99	Ribosome
P05750	YNL178W	RPS3	51.1	64.2	60.1	54.7	99	Ribosome
P25443	YGL123W	RPS2	34.1	40.3	38.9	37.5	76.8	Ribosome
P48589	YOR369C	RPS12	20.8	24.9	23.1	24.4	54.5	Ribosome
Q3E7X9	YOR167C	RPS28A	21.1	24.5	21.5	22.1	52.9	Ribosome
P41805	YLR075W	RPL10	24.6	27.9	30.9	27	57	Ribosome
P51401	YNL067W	RPL9B	28.3	33.6	27.3	33.6	81.7	Ribosome
P26785	YNL069C	RPL16B	46.8	67.2	65.6	60	99	Ribosome
Q02753	YBR191W	RPL21A	16.7	21.4	19	19.6	44.6	Ribosome
P04449	YGL031C	RPL24A	15.7	22.2	24.1	19.9	45.1	Ribosome
P38061	YBL092W	RPL32	20.4	25.3	22.3	23.4	52.8	Ribosome
P05748	YLR029C	RPL15A	25	30.8	29.8	27.6	66.4	Ribosome
P05756	YDR064W	RPS13	48.5	59.1	56	53.4	99	Ribosome
P41056	YOR234C	RPL33B	27.7	32.4	34.4	32.4	82.2	Ribosome
P41057	YLR388W	RPS29A	40.7	48.9	46.7	48.8	78.7	Ribosome
P05739	YLR448W	RPL6B	43.7	55.9	55	51.2	99	Ribosome
P87262	YER056C-A	RPL34A	32.3	42.5	34.8	37.1	80.5	Ribosome
P38754	YHL001W	RPL14B	15.7	16.2	18.8	14.1	56.7	Ribosome
P14120	YGL030W	RPL30	32.1	41.4	43.5	42	78.8	Ribosome
P49167	YLR325C	RPL38	21.1	27.6	26	25.1	51.5	Ribosome
P41058	YDL061C	RPS29B	48.7	56.2	50.2	43.9	99	Ribosome
P46784	YMR230W	RPS10B	15.8	18.7	15.8	17.1	33.4	Ribosome
P38701	YHL015W	RPS20	26.9	31	33.2	28.6	62.1	Ribosome
P40212	YMR142C	RPL13B	21.6	26	28.1	24.2	50.6	Ribosome
P02406	YGL103W	RPL28	28.4	32.4	33.3	34.4	73.3	Ribosome
P04456	YOL127W	RPL25	20.4	21.2	23.3	21.1	43.1	Ribosome
P26321	YPL131W	RPL5	43.6	52.9	48.7	48	99	Ribosome
P49166	YLR185W	RPL37A	54.5	67.2	64.6	62.5	99	Ribosome
P05740	YKL180W	RPL17A	15.7	21.6	19.6	21.7	38.8	Ribosome
P53221	YGR034W	RPL26B	17.1	20.8	20.3	21	45.5	Ribosome
P0C2H8	YDL075W	RPL31A	43.1	53.1	57.7	51.4	99	Ribosome
P04650	YJL189W	RPL39	25.7	31.6	28.1	28.2	52.9	Ribosome
O14455	YPL249C-A	RPL36B	28.8	33.9	34.1	33.6	64.2	Ribosome
P39938	YGL189C	RPS26A	58	75.8	76.8	62.9	99	Ribosome
P38011	YMR116C	ASC1	23.5	31.2	30.1	26.4	54.1	Ribosome
P16521	YLR249W	YEF3	49.5	50.2	38.8	34.9	64.1	Ribosome
P05749	YLR061W	RPL22A	40	51.2	51.1	43.3	85.7	Ribosome
P23248	YML063W	RPS1B	30.7	36.5	38.9	34.8	66.6	Ribosome
P07281	YNL302C	RPS19B	28.9	33.4	33.7	33	65.2	Ribosome
Q01855	YOL040C	RPS15	30.7	38.5	39.3	34.7	66.7	Ribosome
P05759	YLR167W	RPS31	49.1	57.3	43.2	49.7	99	Ribosome
P46654	YLR048W	RPS0B	72	69.2	81.5	66.2	99	Ribosome
P17076	YHL033C	RPL8A	26.1	34.3	28.9	27.3	59.8	Ribosome
